slang,formal
"Aduh anjir, ente alay banget!","Astaga, kamu norak sekali!"
"Aduh dah, elo cepet banget!","Astaga, Anda cepat sekali!"
"Aduh haha, loe gercep banget!","Astaga, Anda cepat sekali!"
"Aduh yhaa, ente mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh waduh, you galau banget!","Astaga, kamu sedih sekali!"
"Aduh dah, lu gercep banget!","Astaga, saudara cepat sekali!"
"Aduh waduh, lu gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh haha, loe gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh haha, kamu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
ente selow banget dah,saudara santai sekali
"Aduh yaelah, loe lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh dah, ente alay banget!","Astaga, saudara norak sekali!"
"Aduh siap, you mantul banget!","Astaga, Anda mantap sekali!"
Jangan unfriend dong kamu,"Tolong jangan hapus pertemanan, kamu"
"Aduh waduh, ente syulit banget!","Astaga, Anda sulit sekali!"
"Aduh anjir, lu ajib banget!","Astaga, saudara hebat sekali!"
"Aduh wkwk, ente galau banget!","Astaga, Anda sedih sekali!"
Jangan modus dong ente,"Tolong jangan berpura-pura, kamu"
"Aduh njir, ente alay banget!","Astaga, kamu norak sekali!"
kamu mabar banget dah,Anda main bersama sekali
"Aduh siap, you alay banget!","Astaga, saudara norak sekali!"
lu tuh bucin banget sih,saudara benar-benar budak cinta
kamu tuh baper banget sih,Anda benar-benar terlalu sensitif
Jangan ribut dong loe,"Tolong jangan berdebat, saudara"
"Aduh waduh, kamu santuy banget!","Astaga, saudara santai sekali!"
"Aduh wkwk, lu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh dah, loe tajir banget!","Astaga, Anda kaya sekali!"
"Aduh siap, loe ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh waduh, you cepet banget!","Astaga, saudara cepat sekali!"
"Mabar yuk elo, gw gaskeun nih","Bermain bersama yuk kamu, saya bersungguh-sungguh"
"Aduh haha, you alay banget!","Astaga, kamu norak sekali!"
"Mabar yuk ente, gw unfriend nih","Bermain bersama yuk kamu, saya hapus pertemanan"
"Aduh anjir, loe ajib banget!","Astaga, kamu hebat sekali!"
"Aduh siap, ente galau banget!","Astaga, kamu sedih sekali!"
"Aduh njir, elo galau banget!","Astaga, kamu sedih sekali!"
kamu ribut banget dah,kamu berdebat sekali
loe tuh mager banget sih,kamu benar-benar malas gerak
"Aduh njir, lu gabut banget!","Astaga, Anda tidak produktif sekali!"
Jangan ribut dong kamu,"Tolong jangan berdebat, saudara"
Jangan mabar dong elo,"Tolong jangan main bersama, saudara"
"Aduh siap, kamu ambyar banget!","Astaga, Anda hancur sekali!"
ente tuh kepo banget sih,Anda benar-benar penasaran
"Aduh yhaa, kamu syulit banget!","Astaga, Anda sulit sekali!"
Jangan modus dong you,"Tolong jangan berpura-pura, saudara"
"Aduh waduh, lu garing banget!","Astaga, kamu membosankan sekali!"
"Aduh yaelah, loe galau banget!","Astaga, Anda sedih sekali!"
"Mabar yuk ente, gw ribut nih","Bermain bersama yuk saudara, saya berdebat"
"Aduh waduh, elo alay banget!","Astaga, kamu norak sekali!"
"Aduh yaelah, kamu tajir banget!","Astaga, Anda kaya sekali!"
ente sokin banget dah,kamu fokus sekali
"Aduh wkwk, you gercep banget!","Astaga, saudara cepat sekali!"
"Aduh wkwk, you jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
Jangan ribut dong ente,"Tolong jangan berdebat, kamu"
"Aduh yaelah, kamu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
Jangan block dong loe,"Tolong jangan blokir, Anda"
"Aduh njir, ente kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh wkwk, elo tajir banget!","Astaga, kamu kaya sekali!"
"Aduh wkwk, lu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh siap, ente santuy banget!","Astaga, kamu santai sekali!"
"Aduh deck, you kepo banget!","Astaga, Anda penasaran sekali!"
you ribut banget dah,kamu berdebat sekali
"Aduh waduh, you kepo banget!","Astaga, saudara penasaran sekali!"
lu tuh kepo banget sih,Anda benar-benar penasaran
"Aduh wkwk, elo ajib banget!","Astaga, Anda hebat sekali!"
"Aduh waduh, you jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh waduh, loe jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh dah, loe galau banget!","Astaga, kamu sedih sekali!"
"Aduh yaelah, ente jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh anjir, ente gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh deck, kamu galau banget!","Astaga, saudara sedih sekali!"
"Aduh wkwk, kamu gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh haha, elo bucin banget!","Astaga, Anda budak cinta sekali!"
ente gaskeun banget dah,Anda bersungguh-sungguh sekali
Jangan ghosting dong kamu,"Tolong jangan menghilang, saudara"
"Aduh haha, lu lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh haha, elo garing banget!","Astaga, Anda membosankan sekali!"
"Aduh yaelah, lu mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh njir, elo baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh dah, elo ajib banget!","Astaga, kamu hebat sekali!"
"Aduh yhaa, you mantul banget!","Astaga, kamu mantap sekali!"
"Aduh wkwk, lu ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh yhaa, you tajir banget!","Astaga, kamu kaya sekali!"
"Aduh deck, you mantul banget!","Astaga, Anda mantap sekali!"
"Aduh anjir, kamu kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh wkwk, loe alay banget!","Astaga, kamu norak sekali!"
"Aduh yaelah, you galau banget!","Astaga, kamu sedih sekali!"
elo tuh jomblo banget sih,Anda benar-benar tidak punya pasangan
"Aduh waduh, kamu alay banget!","Astaga, kamu norak sekali!"
"Aduh dah, loe lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh wkwk, kamu ambyar banget!","Astaga, saudara hancur sekali!"
"Mabar yuk lu, gw japri nih","Bermain bersama yuk Anda, saya kirim pesan pribadi"
"Aduh siap, loe ambyar banget!","Astaga, kamu hancur sekali!"
Jangan jadian dong you,"Tolong jangan berhubungan, kamu"
"Aduh siap, elo lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh haha, you gercep banget!","Astaga, Anda cepat sekali!"
"Aduh yaelah, kamu mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh yaelah, elo galau banget!","Astaga, kamu sedih sekali!"
"Aduh anjir, loe ngehe banget!","Astaga, Anda menjengkelkan sekali!"
kamu jadian banget dah,kamu berhubungan sekali
"Aduh dah, kamu cepet banget!","Astaga, saudara cepat sekali!"
"Aduh waduh, lu ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh njir, you gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh yaelah, kamu galau banget!","Astaga, saudara sedih sekali!"
"Aduh dah, lu bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh njir, loe ajib banget!","Astaga, saudara hebat sekali!"
"Aduh njir, lu ajib banget!","Astaga, Anda hebat sekali!"
"Aduh njir, lu galau banget!","Astaga, saudara sedih sekali!"
"Aduh anjir, lu garing banget!","Astaga, Anda membosankan sekali!"
"Aduh anjir, kamu bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh anjir, ente baper banget!","Astaga, saudara terlalu sensitif sekali!"
Jangan mabar dong kamu,"Tolong jangan main bersama, Anda"
"Aduh siap, lu bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh dah, you gercep banget!","Astaga, kamu cepat sekali!"
"Aduh wkwk, elo kepo banget!","Astaga, saudara penasaran sekali!"
kamu selow banget dah,Anda santai sekali
"Aduh yaelah, ente garing banget!","Astaga, Anda membosankan sekali!"
"Aduh siap, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh siap, elo kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh siap, you bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh waduh, you santuy banget!","Astaga, kamu santai sekali!"
"Aduh siap, you lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh yaelah, you mantul banget!","Astaga, Anda mantap sekali!"
"Aduh anjir, kamu ambyar banget!","Astaga, saudara hancur sekali!"
you tuh santuy banget sih,Anda benar-benar santai
you troll banget dah,kamu mengganggu sekali
"Aduh haha, lu kepo banget!","Astaga, saudara penasaran sekali!"
elo tuh cepet banget sih,kamu benar-benar cepat
"Aduh dah, lu garing banget!","Astaga, Anda membosankan sekali!"
"Aduh haha, lu gabut banget!","Astaga, Anda tidak produktif sekali!"
Jangan selow dong elo,"Tolong jangan santai, saudara"
Jangan unfriend dong you,"Tolong jangan hapus pertemanan, kamu"
"Aduh wkwk, loe syulit banget!","Astaga, saudara sulit sekali!"
"Aduh siap, loe alay banget!","Astaga, Anda norak sekali!"
"Aduh njir, you lebay banget!","Astaga, kamu berlebihan sekali!"
ente tuh ambyar banget sih,Anda benar-benar hancur
"Aduh deck, loe cepet banget!","Astaga, saudara cepat sekali!"
"Aduh siap, elo syulit banget!","Astaga, Anda sulit sekali!"
"Aduh haha, lu cepet banget!","Astaga, saudara cepat sekali!"
loe troll banget dah,saudara mengganggu sekali
"Aduh yaelah, ente santuy banget!","Astaga, saudara santai sekali!"
Jangan gaskeun dong lu,"Tolong jangan bersungguh-sungguh, Anda"
"Aduh yhaa, lu ajib banget!","Astaga, Anda hebat sekali!"
"Aduh njir, lu ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh waduh, elo baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh yaelah, lu gercep banget!","Astaga, Anda cepat sekali!"
"Aduh njir, kamu bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh anjir, kamu mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh waduh, kamu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh haha, lu garing banget!","Astaga, Anda membosankan sekali!"
lu troll banget dah,Anda mengganggu sekali
"Aduh wkwk, loe gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh waduh, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh siap, lu alay banget!","Astaga, Anda norak sekali!"
"Aduh haha, ente lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh siap, you galau banget!","Astaga, Anda sedih sekali!"
loe tuh gemoy banget sih,saudara benar-benar menggemaskan
"Aduh anjir, lu syulit banget!","Astaga, saudara sulit sekali!"
"Aduh deck, you syulit banget!","Astaga, saudara sulit sekali!"
"Aduh dah, you ajib banget!","Astaga, Anda hebat sekali!"
"Aduh yaelah, loe tajir banget!","Astaga, Anda kaya sekali!"
ente tuh baper banget sih,Anda benar-benar terlalu sensitif
"Aduh siap, kamu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh dah, loe santuy banget!","Astaga, saudara santai sekali!"
"Aduh dah, you alay banget!","Astaga, kamu norak sekali!"
"Aduh yhaa, loe jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
loe tuh syulit banget sih,kamu benar-benar sulit
"Aduh anjir, lu mantul banget!","Astaga, saudara mantap sekali!"
"Aduh haha, ente alay banget!","Astaga, saudara norak sekali!"
"Mabar yuk you, gw mabar nih","Bermain bersama yuk kamu, saya main bersama"
lu tuh lebay banget sih,kamu benar-benar berlebihan
"Aduh deck, kamu santuy banget!","Astaga, saudara santai sekali!"
"Aduh yaelah, elo gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh siap, ente kepo banget!","Astaga, Anda penasaran sekali!"
"Mabar yuk elo, gw unfriend nih","Bermain bersama yuk kamu, saya hapus pertemanan"
"Aduh wkwk, you syulit banget!","Astaga, kamu sulit sekali!"
"Aduh wkwk, you gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh deck, ente mantul banget!","Astaga, Anda mantap sekali!"
"Aduh siap, kamu mantul banget!","Astaga, saudara mantap sekali!"
"Aduh dah, lu gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh yhaa, kamu lebay banget!","Astaga, kamu berlebihan sekali!"
ente tuh santuy banget sih,Anda benar-benar santai
"Aduh yaelah, loe garing banget!","Astaga, saudara membosankan sekali!"
"Aduh wkwk, elo alay banget!","Astaga, kamu norak sekali!"
"Aduh dah, you lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh wkwk, loe ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh yhaa, loe santuy banget!","Astaga, saudara santai sekali!"
"Aduh siap, you ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh deck, you gercep banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, kamu ajib banget!","Astaga, kamu hebat sekali!"
kamu tuh jomblo banget sih,saudara benar-benar tidak punya pasangan
"Aduh haha, lu ajib banget!","Astaga, kamu hebat sekali!"
"Aduh anjir, lu galau banget!","Astaga, kamu sedih sekali!"
"Aduh yhaa, loe alay banget!","Astaga, kamu norak sekali!"
"Aduh yhaa, elo ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh anjir, ente mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh waduh, lu gercep banget!","Astaga, saudara cepat sekali!"
elo tuh gemoy banget sih,kamu benar-benar menggemaskan
elo selow banget dah,kamu santai sekali
"Aduh waduh, elo ambyar banget!","Astaga, Anda hancur sekali!"
Jangan selow dong loe,"Tolong jangan santai, Anda"
"Aduh siap, elo mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh siap, kamu galau banget!","Astaga, Anda sedih sekali!"
"Aduh haha, loe garing banget!","Astaga, saudara membosankan sekali!"
"Aduh deck, loe garing banget!","Astaga, Anda membosankan sekali!"
"Aduh dah, lu tajir banget!","Astaga, Anda kaya sekali!"
"Aduh haha, kamu gemoy banget!","Astaga, saudara menggemaskan sekali!"
loe jadian banget dah,Anda berhubungan sekali
loe sokin banget dah,Anda fokus sekali
"Aduh waduh, elo tajir banget!","Astaga, Anda kaya sekali!"
Jangan ghosting dong ente,"Tolong jangan menghilang, kamu"
"Aduh siap, loe garing banget!","Astaga, Anda membosankan sekali!"
"Aduh waduh, lu gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh yhaa, elo ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh njir, lu garing banget!","Astaga, saudara membosankan sekali!"
"Aduh deck, loe galau banget!","Astaga, saudara sedih sekali!"
"Aduh yaelah, ente lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh dah, lu baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh wkwk, lu gabut banget!","Astaga, Anda tidak produktif sekali!"
Jangan ghosting dong elo,"Tolong jangan menghilang, saudara"
"Aduh njir, lu mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh anjir, lu gercep banget!","Astaga, Anda cepat sekali!"
lu tuh santuy banget sih,Anda benar-benar santai
"Aduh wkwk, loe garing banget!","Astaga, saudara membosankan sekali!"
"Mabar yuk loe, gw modus nih","Bermain bersama yuk kamu, saya berpura-pura"
ente mabar banget dah,Anda main bersama sekali
"Aduh haha, kamu kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh dah, loe ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh anjir, loe cepet banget!","Astaga, Anda cepat sekali!"
"Aduh siap, kamu garing banget!","Astaga, kamu membosankan sekali!"
"Aduh yhaa, loe syulit banget!","Astaga, Anda sulit sekali!"
"Aduh yaelah, ente ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh deck, kamu ajib banget!","Astaga, saudara hebat sekali!"
"Aduh yhaa, ente santuy banget!","Astaga, saudara santai sekali!"
"Aduh deck, elo mantul banget!","Astaga, Anda mantap sekali!"
elo tuh ajib banget sih,Anda benar-benar hebat
"Aduh haha, kamu alay banget!","Astaga, saudara norak sekali!"
"Aduh haha, you baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh yaelah, kamu gercep banget!","Astaga, kamu cepat sekali!"
kamu tuh mantul banget sih,saudara benar-benar mantap
"Aduh wkwk, kamu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh haha, elo jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
Jangan jadian dong ente,"Tolong jangan berhubungan, kamu"
"Mabar yuk loe, gw ghosting nih","Bermain bersama yuk saudara, saya menghilang"
"Aduh yaelah, loe kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh njir, loe syulit banget!","Astaga, Anda sulit sekali!"
lu modus banget dah,Anda berpura-pura sekali
"Aduh yhaa, loe galau banget!","Astaga, Anda sedih sekali!"
"Mabar yuk kamu, gw block nih","Bermain bersama yuk saudara, saya blokir"
"Aduh yhaa, you kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh dah, kamu ajib banget!","Astaga, kamu hebat sekali!"
"Aduh anjir, ente bucin banget!","Astaga, saudara budak cinta sekali!"
you tuh lebay banget sih,saudara benar-benar berlebihan
"Aduh yaelah, elo ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh yaelah, kamu alay banget!","Astaga, kamu norak sekali!"
"Aduh yhaa, elo syulit banget!","Astaga, kamu sulit sekali!"
"Aduh njir, kamu alay banget!","Astaga, kamu norak sekali!"
"Aduh anjir, loe galau banget!","Astaga, Anda sedih sekali!"
"Aduh anjir, loe bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh yaelah, kamu kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh haha, ente jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh deck, you ajib banget!","Astaga, Anda hebat sekali!"
"Mabar yuk loe, gw block nih","Bermain bersama yuk Anda, saya blokir"
"Aduh siap, you mager banget!","Astaga, Anda malas gerak sekali!"
you tuh cepet banget sih,saudara benar-benar cepat
Jangan flexing dong you,"Tolong jangan pamer, kamu"
"Aduh yaelah, lu mantul banget!","Astaga, Anda mantap sekali!"
"Aduh yaelah, lu garing banget!","Astaga, saudara membosankan sekali!"
ente tuh ajib banget sih,kamu benar-benar hebat
"Aduh njir, kamu ajib banget!","Astaga, Anda hebat sekali!"
"Aduh yaelah, you alay banget!","Astaga, Anda norak sekali!"
"Aduh dah, kamu kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh yaelah, ente gemoy banget!","Astaga, kamu menggemaskan sekali!"
ente tuh ngehe banget sih,Anda benar-benar menjengkelkan
"Aduh waduh, elo gercep banget!","Astaga, Anda cepat sekali!"
"Aduh anjir, you gercep banget!","Astaga, kamu cepat sekali!"
"Aduh waduh, you gercep banget!","Astaga, Anda cepat sekali!"
loe flexing banget dah,saudara pamer sekali
"Aduh yhaa, ente gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh waduh, kamu bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh dah, you ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh deck, you santuy banget!","Astaga, kamu santai sekali!"
Jangan ghosting dong loe,"Tolong jangan menghilang, kamu"
"Aduh njir, elo lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh wkwk, kamu tajir banget!","Astaga, saudara kaya sekali!"
"Aduh dah, elo gercep banget!","Astaga, kamu cepat sekali!"
"Aduh dah, ente ajib banget!","Astaga, saudara hebat sekali!"
"Aduh deck, you cepet banget!","Astaga, saudara cepat sekali!"
"Aduh haha, ente mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh wkwk, loe lebay banget!","Astaga, Anda berlebihan sekali!"
lu tuh gemoy banget sih,saudara benar-benar menggemaskan
"Aduh dah, loe cepet banget!","Astaga, saudara cepat sekali!"
"Aduh njir, ente tajir banget!","Astaga, saudara kaya sekali!"
"Aduh dah, kamu bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh siap, ente ajib banget!","Astaga, kamu hebat sekali!"
"Aduh haha, you kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh njir, loe ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh dah, lu cepet banget!","Astaga, Anda cepat sekali!"
kamu tuh santuy banget sih,saudara benar-benar santai
ente tuh garing banget sih,kamu benar-benar membosankan
elo tuh kepo banget sih,saudara benar-benar penasaran
"Mabar yuk loe, gw ribut nih","Bermain bersama yuk kamu, saya berdebat"
Jangan sokin dong lu,"Tolong jangan fokus, saudara"
"Aduh haha, loe ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh haha, kamu tajir banget!","Astaga, Anda kaya sekali!"
Jangan flexing dong elo,"Tolong jangan pamer, Anda"
"Aduh yaelah, ente galau banget!","Astaga, kamu sedih sekali!"
"Aduh anjir, kamu ajib banget!","Astaga, kamu hebat sekali!"
loe tuh kepo banget sih,saudara benar-benar penasaran
"Aduh yaelah, lu tajir banget!","Astaga, saudara kaya sekali!"
"Aduh njir, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh njir, lu tajir banget!","Astaga, Anda kaya sekali!"
"Aduh yhaa, ente garing banget!","Astaga, saudara membosankan sekali!"
"Aduh waduh, kamu gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh yaelah, you garing banget!","Astaga, kamu membosankan sekali!"
"Aduh yaelah, you gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh waduh, lu santuy banget!","Astaga, saudara santai sekali!"
Jangan nyok dong ente,"Tolong jangan ayo, kamu"
"Aduh dah, ente gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh waduh, loe alay banget!","Astaga, kamu norak sekali!"
"Aduh yhaa, elo santuy banget!","Astaga, saudara santai sekali!"
"Aduh wkwk, lu tajir banget!","Astaga, kamu kaya sekali!"
"Mabar yuk elo, gw block nih","Bermain bersama yuk kamu, saya blokir"
"Aduh haha, you garing banget!","Astaga, Anda membosankan sekali!"
"Aduh yaelah, kamu gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh yaelah, elo gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh haha, ente tajir banget!","Astaga, Anda kaya sekali!"
"Aduh yhaa, kamu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
elo tuh lebay banget sih,saudara benar-benar berlebihan
"Mabar yuk kamu, gw gaskeun nih","Bermain bersama yuk saudara, saya bersungguh-sungguh"
"Aduh wkwk, you mantul banget!","Astaga, Anda mantap sekali!"
"Aduh anjir, elo ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh dah, ente kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh njir, kamu santuy banget!","Astaga, kamu santai sekali!"
"Aduh deck, ente cepet banget!","Astaga, kamu cepat sekali!"
"Aduh siap, lu santuy banget!","Astaga, Anda santai sekali!"
elo tuh ambyar banget sih,kamu benar-benar hancur
"Aduh yhaa, lu cepet banget!","Astaga, saudara cepat sekali!"
"Aduh haha, kamu ajib banget!","Astaga, Anda hebat sekali!"
"Aduh wkwk, kamu gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh haha, elo lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh njir, kamu mantul banget!","Astaga, Anda mantap sekali!"
"Mabar yuk kamu, gw modus nih","Bermain bersama yuk kamu, saya berpura-pura"
"Aduh yhaa, loe gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh siap, loe gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh wkwk, lu lebay banget!","Astaga, saudara berlebihan sekali!"
elo flexing banget dah,Anda pamer sekali
"Aduh wkwk, ente ambyar banget!","Astaga, saudara hancur sekali!"
lu tuh jomblo banget sih,kamu benar-benar tidak punya pasangan
"Aduh yhaa, lu ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh anjir, you ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh njir, you santuy banget!","Astaga, kamu santai sekali!"
"Mabar yuk you, gw japri nih","Bermain bersama yuk saudara, saya kirim pesan pribadi"
"Aduh yaelah, loe jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh njir, elo bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh siap, elo bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh njir, kamu gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh siap, kamu bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh yaelah, loe syulit banget!","Astaga, kamu sulit sekali!"
"Aduh haha, you jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh wkwk, loe baper banget!","Astaga, Anda terlalu sensitif sekali!"
kamu japri banget dah,kamu kirim pesan pribadi sekali
"Aduh waduh, lu mantul banget!","Astaga, Anda mantap sekali!"
"Aduh deck, elo tajir banget!","Astaga, saudara kaya sekali!"
elo modus banget dah,saudara berpura-pura sekali
"Aduh haha, elo galau banget!","Astaga, Anda sedih sekali!"
you tuh garing banget sih,Anda benar-benar membosankan
"Aduh siap, elo tajir banget!","Astaga, kamu kaya sekali!"
"Aduh njir, ente bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh siap, you santuy banget!","Astaga, kamu santai sekali!"
"Aduh deck, kamu ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh anjir, lu kepo banget!","Astaga, kamu penasaran sekali!"
"Mabar yuk lu, gw flexing nih","Bermain bersama yuk kamu, saya pamer"
"Aduh yhaa, lu baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh yhaa, ente ajib banget!","Astaga, Anda hebat sekali!"
you block banget dah,kamu blokir sekali
"Aduh yaelah, lu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh haha, lu baper banget!","Astaga, kamu terlalu sensitif sekali!"
loe tuh bucin banget sih,saudara benar-benar budak cinta
"Aduh anjir, lu alay banget!","Astaga, saudara norak sekali!"
"Aduh deck, you garing banget!","Astaga, saudara membosankan sekali!"
"Aduh haha, kamu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh haha, loe kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh waduh, elo bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh wkwk, you tajir banget!","Astaga, Anda kaya sekali!"
"Aduh deck, loe mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh anjir, loe baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh yaelah, kamu ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh waduh, kamu jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh deck, ente kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh anjir, lu santuy banget!","Astaga, kamu santai sekali!"
"Aduh njir, kamu tajir banget!","Astaga, Anda kaya sekali!"
"Aduh njir, lu ngehe banget!","Astaga, kamu menjengkelkan sekali!"
you tuh gabut banget sih,Anda benar-benar tidak produktif
"Aduh dah, ente tajir banget!","Astaga, kamu kaya sekali!"
Jangan modus dong lu,"Tolong jangan berpura-pura, Anda"
"Aduh deck, loe bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh yaelah, you gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh njir, loe gercep banget!","Astaga, Anda cepat sekali!"
"Aduh deck, kamu cepet banget!","Astaga, saudara cepat sekali!"
"Aduh deck, elo baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh siap, loe kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh wkwk, kamu mantul banget!","Astaga, kamu mantap sekali!"
"Aduh dah, loe gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh waduh, lu lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh waduh, loe cepet banget!","Astaga, kamu cepat sekali!"
elo sokin banget dah,kamu fokus sekali
"Aduh dah, elo garing banget!","Astaga, Anda membosankan sekali!"
